web-scraper-order,web-scraper-start-url,page,page-href,item,item-href,name,price,buylink,buylink-href,image-src,info-label,info
"1616031087-191173","https://pcpartpicker.com/products/memory/","78","https://pcpartpicker.com/products/memory/#page=78","Silicon Power XPOWER Turbine 16 GB         (0)","https://pcpartpicker.com/product/Q2RYcf/silicon-power-xpower-turbine-16-gb-2-x-8-gb-ddr4-3600-cl18-memory-sp032gxlzu360bda","Silicon Power XPOWER Turbine 16 GB (2 x 8 GB) DDR4-3600 CL18 Memory","","","","","Form Factor",""
"1616031576-194712","https://pcpartpicker.com/products/memory/","74","https://pcpartpicker.com/products/memory/#page=74","Mushkin Essentials 8 GB         (0)","https://pcpartpicker.com/product/vbKhP6/mushkin-memory-mes3u1609m8g","Mushkin Essentials 8 GB (1 x 8 GB) DDR3-1600 CL9 Memory","","","","/static/forever/img/no-image.png","","11.25 ns"
"1616031566-194651","https://pcpartpicker.com/products/memory/","75","https://pcpartpicker.com/products/memory/#page=75","Mushkin Essentials 8 GB         (0)","https://pcpartpicker.com/product/HRvZxr/mushkin-memory-mes3u1609t8g","Mushkin Essentials 8 GB (1 x 8 GB) DDR3-1600 CL9 Memory","","","","https://images-na.ssl-images-amazon.com/images/I/41DXEt4f9HL.jpg","","Black / Green"
"1616031615-195054","https://pcpartpicker.com/products/memory/","74","https://pcpartpicker.com/products/memory/#page=74","Kingston KVR21R15S4/8I 8 GB         (0)","https://pcpartpicker.com/product/kDqbt6/kingston-memory-kvr21r15s48i","Kingston 8 GB (1 x 8 GB) Registered DDR4-2133 CL15 Memory","","","","https://images-na.ssl-images-amazon.com/images/I/41XB4vjMYoL.jpg","","1.2 V"
"1616031789-196554","https://pcpartpicker.com/products/memory/","74","https://pcpartpicker.com/products/memory/#page=74","Panram Ninja Series 8 GB         (0)","https://pcpartpicker.com/product/FsX2FT/panram-memory-pud3l1600c98gnjr","Panram Ninja Series 8 GB (1 x 8 GB) DDR3-1600 CL9 Memory","","","","/static/forever/img/no-image.png","","Non-ECC / Unbuffered"
"1616030874-188521","https://pcpartpicker.com/products/memory/","","","G.Skill Trident Z RGB 32 GB         (48)","https://pcpartpicker.com/product/KJ2rxr/gskill-tridentz-rgb-32gb-4-x-8gb-ddr4-3200-memory-f4-3200c16q-32gtzr","G.Skill Trident Z RGB 32 GB (4 x 8 GB) DDR4-3200 CL16 Memory","","","","https://images-eu.ssl-images-amazon.com/images/I/51Bd23omfLL.jpg","Heat Spreader",""
"1616031740-196129","https://pcpartpicker.com/products/memory/","74","https://pcpartpicker.com/products/memory/#page=74","GeIL Dragon RAM Combo 16 GB         (0)","https://pcpartpicker.com/product/WmkwrH/geil-memory-gww416gb3466c16qk","GeIL Dragon RAM Combo 16 GB (4 x 4 GB) DDR4-3466 CL16 Memory","","","","/static/forever/img/no-image.png","","4 x 4GB"
"1616031077-191102","https://pcpartpicker.com/products/memory/","","","Corsair Vengeance RGB Pro 16 GB         (265)","https://pcpartpicker.com/product/QDhKHx/corsair-vengeance-rgb-pro-16gb-2-x-8gb-ddr4-3200-memory-cmw16gx4m2c3200c16","Corsair Vengeance RGB Pro 16 GB (2 x 8 GB) DDR4-3200 CL16 Memory","","","","","","Black"
"1616031198-192175","https://pcpartpicker.com/products/memory/","77","https://pcpartpicker.com/products/memory/#page=77","Team T-FORCE VULCAN Z 4 GB         (0)","https://pcpartpicker.com/product/P4RzK8/team-t-force-vulcan-z-4-gb-1-x-4-gb-ddr4-3000-memory-tlzrd44g3000hc16c01","Team T-FORCE VULCAN Z 4 GB (1 x 4 GB) DDR4-3000 CL16 Memory","","","","//cdna.pcpartpicker.com/static/forever/images/product/992b6ac2e9ad2de6a8df657af57af6c2.256p.jpg","Color",""
"1616031446-193787","https://pcpartpicker.com/products/memory/","75","https://pcpartpicker.com/products/memory/#page=75","Avexir Core Series 8 GB         (0)","https://pcpartpicker.com/product/9sL7YJ/avexir-memory-avd4uz124001604g2coy","Avexir Core Series 8 GB (2 x 4 GB) DDR4-2400 CL16 Memory","","","","https://images-na.ssl-images-amazon.com/images/I/519J9ZIGB6L.jpg","","Non-ECC / Unbuffered"
"1616031398-193328","https://pcpartpicker.com/products/memory/","75","https://pcpartpicker.com/products/memory/#page=75","Team T-Force XTREEM 16 GB         (0)","https://pcpartpicker.com/product/nFVBD3/team-t-force-xtreem-16gb-2-x-8gb-ddr4-3466-memory-txgd416g3466hc17adc01","Team T-Force XTREEM 16 GB (2 x 8 GB) DDR4-3466 CL17 Memory","","","","/static/forever/img/no-image.png","","17"
"1616031313-192583","https://pcpartpicker.com/products/memory/","77","https://pcpartpicker.com/products/memory/#page=77","ADATA XPG GAMMIX D10 4 GB         (0)","https://pcpartpicker.com/product/qMXnTW/adata-xpg-gammix-d10-4gb-1-x-4gb-ddr4-3000-memory-ax4u3000w4g16-sbg","ADATA XPG GAMMIX D10 4 GB (1 x 4 GB) DDR4-3000 CL16 Memory","","","","https://m.media-amazon.com/images/I/41S-44lKnIL.jpg","","16"
"1616031634-195201","https://pcpartpicker.com/products/memory/","74","https://pcpartpicker.com/products/memory/#page=74","GeIL SUPER LUCE 16 GB         (0)","https://pcpartpicker.com/product/p3yxFT/geil-memory-glr416gb2800c16dc","GeIL SUPER LUCE 16 GB (2 x 8 GB) DDR4-2800 CL16 Memory","","","","/static/forever/img/no-image.png","Color",""
"1616031787-196524","https://pcpartpicker.com/products/memory/","74","https://pcpartpicker.com/products/memory/#page=74","Panram Ninja-V 16 GB         (0)","https://pcpartpicker.com/product/Xy4NnQ/panram-memory-pud42133c134g4njk","Panram Ninja-V 16 GB (4 x 4 GB) DDR4-2133 CL13 Memory","","","","/static/forever/img/no-image.png","ECC / Registered",""
"1616031398-193322","https://pcpartpicker.com/products/memory/","75","https://pcpartpicker.com/products/memory/#page=75","Team T-Force XTREEM 16 GB         (0)","https://pcpartpicker.com/product/nFVBD3/team-t-force-xtreem-16gb-2-x-8gb-ddr4-3466-memory-txgd416g3466hc17adc01","Team T-Force XTREEM 16 GB (2 x 8 GB) DDR4-3466 CL17 Memory","","","","/static/forever/img/no-image.png","","Team"
"1616031456-193869","https://pcpartpicker.com/products/memory/","75","https://pcpartpicker.com/products/memory/#page=75","Kingston KVR16E11K3/24I 24 GB         (0)","https://pcpartpicker.com/product/TLs8TW/kingston-memory-kvr16e11k324i","Kingston 24 GB (3 x 8 GB) DDR3-1600 CL11 Memory","","","","//cdna.pcpartpicker.com/static/forever/images/product/a8ec244bfca97dacfed95619476220d3.256p.jpg","","11"
"1616031180-191997","https://pcpartpicker.com/products/memory/","77","https://pcpartpicker.com/products/memory/#page=77","Team T-FORCE DARK Z 16 GB         (0)","https://pcpartpicker.com/product/VH2bt6/team-t-force-dark-z-16-gb-1-x-16-gb-ddr4-2666-memory-tdzrd416g2666hc15b01","Team T-FORCE DARK Z 16 GB (1 x 16 GB) DDR4-2666 CL15 Memory","","","","//cdna.pcpartpicker.com/static/forever/images/product/b91b2bacda6ff00dfd9010ed10e4ec82.256p.jpg","Color",""
